table_name,field_name,language,translation,record_id,record_sub_id,field_value
routes,route_short_name,en,Route 096,,,096系統
routes,route_short_name,ja,096系統,,,096系統
routes,route_short_name,ja-Hrkt,096ケイトウ,,,096系統
routes,route_short_name,ko,096계통,,,096系統
routes,route_short_name,zh,096系统,,,096系統
routes,route_short_name,en,Route 097,,,097系統
routes,route_short_name,ja,097系統,,,097系統
routes,route_short_name,ja-Hrkt,097ケイトウ,,,097系統
routes,route_short_name,ko,097계통,,,097系統
routes,route_short_name,zh,097系统,,,097系統
routes,route_short_name,en,Route 098,,,098系統
routes,route_short_name,ja,098系統,,,098系統
routes,route_short_name,ja-Hrkt,098ケイトウ,,,098系統
routes,route_short_name,ko,098계통,,,098系統
routes,route_short_name,zh,098系统,,,098系統
routes,route_short_name,en,Route 101,,,101系統
routes,route_short_name,ja,101系統,,,101系統
routes,route_short_name,ja-Hrkt,101ケイトウ,,,101系統
routes,route_short_name,ko,101계통,,,101系統
routes,route_short_name,zh,101系统,,,101系統
routes,route_short_name,en,Route 102,,,102系統
routes,route_short_name,ja,102系統,,,102系統
routes,route_short_name,ja-Hrkt,102ケイトウ,,,102系統
routes,route_short_name,ko,102계통,,,102系統
routes,route_short_name,zh,102系统,,,102系統
routes,route_short_name,en,Route 103,,,103系統
routes,route_short_name,ja,103系統,,,103系統
routes,route_short_name,ja-Hrkt,103ケイトウ,,,103系統
routes,route_short_name,ko,103계통,,,103系統
routes,route_short_name,zh,103系统,,,103系統
routes,route_short_name,en,Route 104,,,104系統
routes,route_short_name,ja,104系統,,,104系統
routes,route_short_name,ja-Hrkt,104ケイトウ,,,104系統
routes,route_short_name,ko,104계통,,,104系統
routes,route_short_name,zh,104系统,,,104系統
routes,route_short_name,en,Route 105,,,105系統
routes,route_short_name,ja,105系統,,,105系統
routes,route_short_name,ja-Hrkt,105ケイトウ,,,105系統
routes,route_short_name,ko,105계통,,,105系統
routes,route_short_name,zh,105系统,,,105系統
routes,route_short_name,en,Route 106,,,106系統
routes,route_short_name,ja,106系統,,,106系統
routes,route_short_name,ja-Hrkt,106ケイトウ,,,106系統
routes,route_short_name,ko,106계통,,,106系統
routes,route_short_name,zh,106系统,,,106系統
routes,route_short_name,en,Route 107,,,107系統
routes,route_short_name,ja,107系統,,,107系統
routes,route_short_name,ja-Hrkt,107ケイトウ,,,107系統
routes,route_short_name,ko,107계통,,,107系統
routes,route_short_name,zh,107系统,,,107系統
routes,route_short_name,en,Route 108,,,108系統
routes,route_short_name,ja,108系統,,,108系統
routes,route_short_name,ja-Hrkt,108ケイトウ,,,108系統
routes,route_short_name,ko,108계통,,,108系統
routes,route_short_name,zh,108系统,,,108系統
routes,route_short_name,en,Route 109,,,109系統
routes,route_short_name,ja,109系統,,,109系統
routes,route_short_name,ja-Hrkt,109ケイトウ,,,109系統
routes,route_short_name,ko,109계통,,,109系統
routes,route_short_name,zh,109系统,,,109系統
